"","S20_KODr2_IP_M_LL2","S21_KODr4_IP_M_LL1Pnk","S22_KODr5_IP_M_LL2","S24_KODr7_IP_F_LL1","S25_KODr8_IP_F_LL2","S26_KODr9_IP_F_RL2","S11_KOMch1_IP_M_LL1","S12s_KOMch2_IP_F_LL2","S13s_KOMch3_IP_F_LL3","S14s_KOMch4_IP_M_LL1","S15s_KOMch5_IP_M_LL2","S16_KOMch6_IP_F_LL3","S18_KOMch8_IP_M_RL2","S19_KOMch9_IP_M_RL3","S10_WTMch10_IP_F_RL1","S8_WTMch8_IP_F_LL2","S9_WTMch9_IP_M_LL3"
"ENSMUSG00000058064",16,16,2,8,5,18,60,70,57,30,2,16,36,12,25,60,29
"ENSMUSG00000024304",2559,3433,2333,1854,1883,2105,3295,6181,5629,3628,3112,3730,2981,2560,3995,3936,2783
"ENSMUSG00000086095",56,35,17,20,14,11,18,16,23,28,5,13,22,12,17,63,45
"ENSMUSG00000048799",3194,3392,2700,2175,2487,2546,2868,4512,4442,3903,3770,3957,4370,2764,4222,2755,2631
"ENSMUSG00000073563",1710,1780,1595,1120,1194,1389,2147,3618,3644,2178,1769,1805,2070,1229,3103,2369,1972
"ENSMUSG00000059898",40,18,8,23,10,40,40,72,74,22,45,36,16,45,145,93,30
"ENSMUSG00000052713",1344,1685,1157,936,885,861,1066,1733,1708,1425,1520,1518,1113,1133,1420,1724,1032
"ENSMUSG00000001700",266,282,280,245,200,302,183,339,288,228,155,259,351,337,308,272,255
"ENSMUSG00000053644",2044,1772,1457,1277,1259,1440,1858,2431,2333,2015,2078,1769,1866,1452,2305,2094,1525
"ENSMUSG00000008301",1102,1356,941,980,1151,1131,2325,2750,2605,1905,2208,1632,1421,1157,2504,1959,2049
"ENSMUSG00000024590",630,531,379,331,337,252,723,972,995,559,525,445,380,379,560,427,465
"ENSMUSG00000032656",45,39,23,6,29,27,13,56,47,46,30,41,8,32,53,39,76
"ENSMUSG00000024592",231,164,184,140,167,189,395,375,408,282,275,213,264,146,489,176,193
"ENSMUSG00000044393",113,145,74,93,88,91,88,124,101,179,136,165,168,121,225,222,85
"ENSMUSG00000091449",65,66,36,38,48,21,220,278,254,170,145,77,122,50,183,62,98
