"","IDS","SAMPLES","CONDITION","TYPE","SEX","MousID","Geno_cond","Genotype","CondType","Label"
"c..S46....KODr2....INP....M....LL2..","S46_KODr2_INP_M_LL2","S46","KODr2","Bulk","M","LL2","KODr","KO","Dr","S46_KODr2_Bulk_LL2"
"c..S47....KODr4....INP....M....LL1Pnk..","S47_KODr4_INP_M_LL1Pnk","S47","KODr4","Bulk","M","LL1Pnk","KODr","KO","Dr","S47_KODr4_Bulk_LL1Pnk"
"c..S48....KODr5....INP....M....LL2..","S48_KODr5_INP_M_LL2","S48","KODr5","Bulk","M","LL2","KODr","KO","Dr","S48_KODr5_Bulk_LL2"
"c..S49....KODr6....INP....M....LL4..","S49_KODr6_INP_M_LL4","S49","KODr6","Bulk","M","LL4","KODr","KO","Dr","S49_KODr6_Bulk_LL4"
"c..S50....KODr7....INP....F....LL1..","S50_KODr7_INP_F_LL1","S50","KODr7","Bulk","F","LL1","KODr","KO","Dr","S50_KODr7_Bulk_LL1"
"c..S52....KODr9....INP....F....RL2..","S52_KODr9_INP_F_RL2","S52","KODr9","Bulk","F","RL2","KODr","KO","Dr","S52_KODr9_Bulk_RL2"
"c..S37....KOMch1....INP....M....LL1..","S37_KOMch1_INP_M_LL1","S37","KOMch1","Bulk","M","LL1","KOMch","KO","Mch","S37_KOMch1_Bulk_LL1"
"c..S39....KOMch3....INP....F....LL3..","S39_KOMch3_INP_F_LL3","S39","KOMch3","Bulk","F","LL3","KOMch","KO","Mch","S39_KOMch3_Bulk_LL3"
"c..S40....KOMch4....INP....M....LL1..","S40_KOMch4_INP_M_LL1","S40","KOMch4","Bulk","M","LL1","KOMch","KO","Mch","S40_KOMch4_Bulk_LL1"
"c..S41....KOMch5....INP....M....LL2..","S41_KOMch5_INP_M_LL2","S41","KOMch5","Bulk","M","LL2","KOMch","KO","Mch","S41_KOMch5_Bulk_LL2"
"c..S42....KOMch6....INP....F....LL3..","S42_KOMch6_INP_F_LL3","S42","KOMch6","Bulk","F","LL3","KOMch","KO","Mch","S42_KOMch6_Bulk_LL3"
"c..S43....KOMch7....INP....F....LL4..","S43_KOMch7_INP_F_LL4","S43","KOMch7","Bulk","F","LL4","KOMch","KO","Mch","S43_KOMch7_Bulk_LL4"
"c..S44....KOMch8....INP....M....RL2..","S44_KOMch8_INP_M_RL2","S44","KOMch8","Bulk","M","RL2","KOMch","KO","Mch","S44_KOMch8_Bulk_RL2"
"c..S45....KOMch9....INP....M....RL3..","S45_KOMch9_INP_M_RL3","S45","KOMch9","Bulk","M","RL3","KOMch","KO","Mch","S45_KOMch9_Bulk_RL3"
"c..S36....WTMch10....INP....F....RL1..","S36_WTMch10_INP_F_RL1","S36","WTMch10","Bulk","F","RL1","WTMch","WT","Mch","S36_WTMch10_Bulk_RL1"
"c..S29....WT3....INP....F....LL1..","S29_WT3_INP_F_LL1","S29","WT3","Bulk","F","LL1","WT","WT","WT_Ctr","S29_WT3_Bulk_LL1"
"c..S30....WT4....INP....M....LL5..","S30_WT4_INP_M_LL5","S30","WT4","Bulk","M","LL5","WT","WT","WT_Ctr","S30_WT4_Bulk_LL5"
"c..S31....WT5....INP....M....LL2..","S31_WT5_INP_M_LL2","S31","WT5","Bulk","M","LL2","WT","WT","WT_Ctr","S31_WT5_Bulk_LL2"
"c..S32....WT6....INP....M....LL4and2..","S32_WT6_INP_M_LL4and2","S32","WT6","Bulk","M","LL4and2","WT","WT","WT_Ctr","S32_WT6_Bulk_LL4and2"
"c..S34....WTMch8....INP....F....LL2..","S34_WTMch8_INP_F_LL2","S34","WTMch8","Bulk","F","LL2","WTMch","WT","Mch","S34_WTMch8_Bulk_LL2"
"c..S35....WTMch9....INP....M....LL3..","S35_WTMch9_INP_M_LL3","S35","WTMch9","Bulk","M","LL3","WTMch","WT","Mch","S35_WTMch9_Bulk_LL3"
